,year,price
0,2005,5200
1,2017,34948
2,2016,49948
3,2016,61948
4,2016,73948
5,2011,149948
6,2018,30948
7,2012,10948
8,2019,139948
9,2017,19750
10,2020,32980
11,2020,26980
12,2019,23750
13,2019,67980
14,2016,18980
15,2017,15890
16,2017,19890
17,2019,56800
18,2017,17513
19,2014,15701
20,2019,26601
21,2016,17672
22,2015,20769
23,2017,22270
24,2015,34129
25,2017,20601
26,2016,25077
27,2017,21609
28,2018,22914
29,2016,19328
30,2019,29546
31,2019,35611
32,2017,15311
33,2020,28128
34,2019,23184
35,2017,15787
36,2018,30682
37,2019,25701
38,2020,31790
39,2019,25190
40,2014,15990
41,2018,34990
42,2019,30799
43,2017,19743
44,2019,24055
45,2019,20945
46,2019,28524
47,2019,24541
48,2017,20880
49,2006,2880
50,2010,5880
51,2015,14940
52,2004,4890
53,2010,16990
54,2010,3890
55,2011,3990
56,2011,3440
57,2020,48995
58,2008,5980
59,2015,13990
60,2016,14480
61,2010,6980
62,2014,11290
63,2011,5740
64,2017,31980
65,2014,15990
66,2015,11240
67,2019,37980
68,2019,28980
69,2019,23280
70,2019,32980
71,2008,5990
72,2013,7300
73,2014,41980
74,2007,7340
75,2007,8490
76,2009,4480
77,2016,24880
78,2015,17480
79,2007,4880
80,2015,38980
81,2010,7495
82,2007,3790
83,2007,3890
84,2015,17863
85,2015,17624
86,2018,18220
87,2017,18775
88,2017,20745
89,2019,18118
90,2019,17990
91,2019,28491
92,2018,18888
93,2019,19840
94,2019,18241
95,2019,18141
96,2016,37385
97,2017,26166
98,2019,24616
99,2019,30403
100,2019,30670
101,2020,30960
102,2020,24107
103,2019,24510
104,2016,35371
105,2019,33729
106,2019,29623
107,2019,27964
108,2019,21394
109,2019,20882
110,2019,37352
111,2018,18051
112,2019,24433
113,2019,37116
114,2019,22375
115,2019,24915
116,2019,29991
117,2019,22596
118,2019,22730
119,2019,26154
120,2020,35438
121,2019,27980
122,2019,28250
123,2019,23280
124,2017,15700
125,2017,18790
126,2020,54995
127,2018,20450
128,2014,11980
129,2017,19890
130,2018,20350
131,2017,22890
132,2017,18890
133,2017,15480
134,2016,16480
135,2017,20480
136,2016,25780
137,2017,21000
138,2016,17800
139,2019,20700
140,2016,17890
141,2009,4200
142,2017,20998
143,2015,18998
144,2017,24998
145,2015,17498
146,2016,19498
147,2018,23498
148,2014,15998
149,2016,28498
150,2015,16498
151,2020,37998
152,2014,16995
153,2016,27995
154,2015,29995
155,2017,26995
156,2017,24995
157,2016,29995
158,2019,18995
159,2015,11995
160,2015,52995
161,2017,23995
162,2015,17698
163,2014,15998
164,2016,20298
165,2014,12998
166,2013,11998
167,2017,17998
168,2016,16998
169,2019,48998
170,2019,28998
171,2019,46998
172,2017,17498
173,2016,26498
174,2013,8998
175,2016,19498
176,2017,20498
177,2018,22998
178,2016,12998
179,2016,22998
180,2015,27998
181,2015,26498
182,2017,27998
183,2019,36998
184,2017,26998
185,2015,19498
186,2019,25498
187,2019,28998
188,2019,24998
189,2020,27998
190,2019,35998
191,2019,32998
192,2016,24998
193,2017,21498
194,2017,20998
195,2016,25498
196,2015,13498
197,2016,16998
198,2019,32998
199,2019,21498
200,2014,13998
201,2017,18998
202,2016,17998
203,2019,28498
204,2016,18998
205,2019,19498
206,2017,20998
207,2019,20998
208,2015,21498
209,2017,19998
210,2017,19498
211,2016,20498
212,2017,22498
213,2017,20998
214,2017,20998
215,2015,18998
216,2018,27498
217,2016,16998
218,2017,22998
219,2015,24498
220,2018,27498
221,2015,16998
222,2015,17998
223,2016,23498
224,2017,18298
225,2019,22998
226,2014,26998
227,2018,19998
228,2018,19498
229,2014,15998
230,2013,9298
231,2014,17298
232,2018,20489
233,2013,15990
234,2013,9995
235,2014,24498
236,2016,26490
237,2018,22990
238,2018,19995
239,2017,17850
240,2016,15000
241,2017,13800
242,2018,20498
243,2014,15498
244,2019,18995
245,2017,20995
246,2018,31995
247,2017,16995
248,2015,17995
249,2016,28995
250,2018,35995
251,2017,23995
252,2015,16998
253,2016,21998
254,2017,30498
255,2019,27698
256,2016,27498
257,2019,32498
258,2019,54498
259,2016,34998
260,2016,28998
261,2019,24498
262,2017,20998
263,2015,19698
264,2018,23498
265,2019,21498
266,2019,21498
267,2019,64998
268,2015,19498
269,2015,12298
270,2017,21998
271,2016,24998
272,2017,29998
273,2016,15635
274,2018,20685
275,2017,19498
276,2018,46998
277,2016,20498
278,2017,30298
279,2015,20298
280,2017,37998
281,2017,28998
282,2014,15298
283,2016,22998
284,2018,31998
285,2019,36998
286,2016,15998
287,2015,18498
288,2016,24998
289,2018,33998
290,2019,33998
291,2019,32998
292,2016,21998
293,2016,28698
294,2018,19998
295,2019,44498
296,2015,13998
297,2017,30498
298,2019,24498
299,2016,18498
300,2018,18998
301,2016,16498
302,2016,23998
303,2015,19498
304,2016,15498
305,2017,19498
306,2019,39998
307,2019,38998
308,2019,32998
309,2019,34998
310,2019,20998
311,2015,27498
312,2017,20298
313,2018,21998
314,2019,21998
315,2016,21998
316,2016,19498
317,2016,18998
318,2017,21998
319,2017,15245
320,2014,10995
321,2013,9995
322,2017,23995
323,2016,28650
324,2015,21998
325,2014,15698
326,2018,20498
327,2019,39998
328,2015,18498
329,2016,18498
330,2015,24498
331,2018,20498
332,2018,20498
333,2019,31998
334,2019,29998
335,2019,24998
336,2015,26498
337,2019,32998
338,2019,32998
339,2019,29998
340,2016,30998
341,2016,19998
342,2017,23998
343,2019,48998
344,2019,32498
345,2017,19998
346,2016,27998
347,2016,18998
348,2017,28498
349,2015,17998
350,2015,18498
351,2014,15498
352,2017,18998
353,2016,19998
354,2014,15698
355,2016,25998
356,2016,15200
357,2013,15200
358,2016,15200
359,2014,15998
360,2019,22498
361,2016,17998
362,2013,11998
363,2019,21498
364,2016,19298
365,2016,28998
366,2017,12498
367,2018,32998
368,2018,29498
369,2016,16998
370,2015,28998
371,2016,20298
372,2013,10698
373,2015,24998
374,2016,15498
375,2015,25498
376,2016,18698
377,2017,30998
378,2016,12498
379,2019,46998
380,2019,33998
381,2019,32998
382,2019,30498
383,2015,19298
384,2018,17498
385,2016,21498
386,2016,19498
387,2017,18998
388,2017,18498
389,2019,40998
390,2019,49998
391,2016,31998
392,2019,23498
393,2017,18498
394,2015,27998
395,2019,24998
396,2019,24998
397,2019,21998
398,2018,29498
399,2019,24498
400,2015,28498
401,2016,20998
402,2016,19998
403,2016,20298
404,2016,19498
405,2016,19498
406,2017,20998
407,2016,21498
408,2016,19698
409,2015,31998
410,2015,19498
411,2016,30998
412,2014,15998
413,2016,17998
414,2015,14298
415,2017,15498
416,2016,21500
417,2016,14698
418,2016,13998
419,2015,14698
420,2019,18498
421,2014,9998
422,2017,34998
423,2014,10498
424,2016,14998
425,2014,14998
426,2018,19998
427,2016,19698
428,2018,17498
429,2017,22498
430,2015,11998
431,2018,32498
432,2016,16298
433,2013,11998
434,2016,20998
435,2018,21498
436,2017,25498
437,2014,16995
438,2017,28500
439,2016,13900
440,2015,18498
441,2017,31498
442,2016,15698
443,2015,16998
444,2015,17498
445,2017,20998
446,2016,20998
447,2017,16498
448,2017,15998
449,2013,11998
450,2018,32498
451,2017,19295
452,2017,21950
453,2019,24495
454,2016,24995
455,2016,18990
456,2018,27590
457,2013,9495
458,2017,22750
459,2016,21595
460,2015,12495
461,2018,20498
462,2018,19498
463,2015,17498
464,2016,16198
465,2018,20498
466,2016,30498
467,2017,17998
468,2018,19998
469,2016,17998
470,2018,20498
471,2017,13498
472,2017,29998
473,2017,20998
474,2017,21498
475,2015,17498
476,2014,10498
477,2014,20498
478,2016,16998
479,2017,19698
480,2017,25798
481,2018,20498
482,2015,13498
483,2015,17998
484,2016,18998
485,2019,21998
486,2019,40998
487,2015,19698
488,2019,23498
489,2017,26998
490,2016,20998
491,2016,14498
492,2017,20998
493,2018,19998
494,2016,17998
495,2014,13998
496,2019,29498
497,2016,21998
498,2019,21998
499,2017,28998
500,2015,12495
501,2017,19498
502,2017,31298
503,2016,22998
504,2017,16798
505,2017,15498
506,2015,15998
507,2014,10998
508,2018,19998
509,2013,15498
510,2016,16998
511,2015,16798
512,2015,11498
513,2013,11460
514,2016,13991
515,2018,20810
516,2016,16130
517,2015,12380
518,2018,20998
519,2013,13998
520,2015,16498
521,2015,17998
522,2016,24498
523,2013,9998
524,2017,23498
525,2017,18498
526,2018,17498
527,2016,13498
528,2017,16498
529,2019,60998
530,2017,24998
531,2014,9500
532,2016,21498
533,2019,23998
534,2015,19700
535,2016,17000
536,2014,18500
537,2013,16300
538,2018,23000
539,2013,8200
540,2019,23000
541,2017,25800
542,2018,20998
543,2019,20998
544,2015,21298
545,2019,25498
546,2019,28998
547,2017,17998
548,2019,24998
549,2018,27998
550,2016,20498
551,2018,47998
552,2018,22998
553,2017,23998
554,2016,20698
555,2017,43498
556,2016,23998
557,2016,18998
558,2016,19298
559,2017,29698
560,2017,21998
561,2017,18998
562,2018,18998
563,2017,20498
564,2017,22698
565,2016,13690
566,2017,14490
567,2014,13490
568,2014,14490
569,2018,29990
570,2019,33990
571,2014,14780
572,2017,16922
573,2017,18350
574,2016,17595
575,2016,20998
576,2016,18698
577,2017,20998
578,2016,20298
579,2015,20498
580,2016,25998
581,2014,19998
582,2015,16315
583,2019,19998
584,2018,19990
585,2017,18990
586,2014,12990
587,2018,19990
588,2016,31390
589,2017,24990
590,2017,29998
591,2015,28998
592,2019,29998
593,2016,21398
594,2016,22498
595,2019,20998
596,2019,59998
597,2016,21998
598,2016,22498
599,2015,17636
600,2017,18990
601,2019,21290
602,2017,13990
603,2019,21980
604,2019,23990
605,2019,21980
606,2019,44990
607,2015,27998
608,2015,34998
609,2017,21998
610,2015,22498
611,2014,9998
612,2019,54990
613,2018,24490
614,2014,28990
615,2016,15990
616,2018,17490
617,2014,13990
618,2019,43990
619,2019,43490
620,2017,30498
621,2019,27990
622,2020,22490
623,2020,27480
624,2020,29950
625,2017,14990
626,2017,31990
627,2020,31950
628,2016,20990
629,2017,34950
630,2015,15390
631,2017,17990
632,2020,43950
633,2020,29950
634,2020,33950
635,2019,24950
636,2018,25990
637,2020,21750
638,2020,21750
639,2017,16490
640,2015,36990
641,2017,40990
642,2015,18998
643,2016,30998
644,2017,19998
645,2017,21998
646,2016,18698
647,2016,19998
648,2013,11998
649,2017,17998
650,2016,22998
651,2013,9490
652,2017,15690
653,2017,13790
654,2017,14990
655,2016,19990
656,2018,19490
657,2019,28990
658,2019,20950
659,2017,19250
660,2016,22990
